,OBJECTID,* Damage,* Street Number,* Street Name,"* Street Type (e.g. road, drive, lane, etc.)",* City,Zip Code,* CAL FIRE Unit,County,Community,Incident Start Date,Structure Defense Actions Taken,* Structure Type,Structure Category,# Units in Structure (if multi unit),* Roof Construction,* Eaves,* Vent Screen,* Exterior Siding,* Window Pane,* Deck/Porch On Grade,* Deck/Porch Elevated,* Patio Cover/Carport Attached to Structure,* Fence Attached to Structure,Distance - Propane Tank to Structure,Distance - Residence to Utility/Misc Structure &gt; 120 SQFT,Assessed Improved Value (parcel),Year Built (parcel),Site Address (parcel),Latitude,Longitude
6945,123637,Destroyed (>50%),683.0,Alma Real,Drive,Pacific Palisades,90272.0,LAC,Los Angeles,,2025-01-07 08:02:01,,Single Family Residence Multi Story,Single Residence,,Asphalt,Unknown,No Vents,Stucco Brick Cement,Multi Pane,Masonry/Concrete,Unknown,Combustible,Combustible,,,602175.0,1951.0,"683 ALMA REAL DR, PACIFIC PALISADES, CA 90272",34.0405956,-118.5237359
6946,49712,Destroyed (>50%),33961.0,Pacific Coast Hwy,,Malibu,,LAC,Los Angeles,Malibu,2018-11-08 00:00:00,Unknown,Motor Home,Single Residence,,Metal,No Eaves,No Vents,Ignition Resistant,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,0-10,>50',210000.0,1977.0,33955 PACIFIC COAST HWY MALIBU CA 90265,34.0450565351851,-118.915408988736
6947,71168,Destroyed (>50%),0.0,Gabriel,Lane,Redwood City,95470.0,MEU,Mendocino,Redwood Valley ,2017-10-08 00:00:00,,Utility Misc Structure,Other Minor Structure,,Combustible,Unknown,Unknown,Combustible,Unknown, , , ,,,,174635.0,0.0,2199 GABRIEL LN,39.2972341402887,-123.21557167084
6948,87471,No Damage,2990.0,Genesee,Road,Taylorsville,95983.0,LMU,Plumas,Taylorsville ,2021-07-13 00:00:00,,Single Family Residence Multi Story,Single Residence,0.0,Metal,Enclosed,No Vents,Wood,Multi Pane,Wood,Wood,Combustible,No Fence,,,5628.0,,2990 GENESEE RD TAYLORSVILLE CA 95983,40.0436641196537,-120.805279787649
6949,96533,No Damage,5.0,Sycamore Valley ,Way,Chico,95973.0,BTU,Butte,,2024-07-24 00:00:00,,Single Family Residence Multi Story,Single Residence,0.0,Asphalt,Enclosed,"Mesh Screen <= 1/8""""",Stucco Brick Cement,Multi Pane,Masonry/Concrete,Wood,Combustible,No Fence,,,422632.0,2005.0,"5 SYCAMORE VALLEY RD, CHICO, CA 95973",39.8447786,-121.8338325
6950,192,Destroyed (>50%),0.0,Spring ,Street,Banning ,,RRU,Riverside,,2020-07-31 00:00:00,Dozer Fuel Break,Single Family Residence Single Story,Single Residence,,Unknown,Unknown,Unknown,Stucco Brick Cement,Unknown,Masonry/Concrete,Wood,Unknown,No Fence,,,,, BANNING CA 92220,34.0007333340096,-116.927867055843
6951,5847,Destroyed (>50%),44448.0,Auberry ,Road,,0.0,FKU,Fresno,Auberry ,2020-09-04 00:00:00,,Utility Misc Structure,Other Minor Structure,0.0,Asphalt,Unknown,"Mesh Screen > 1/8""""",Wood,No Windows,Wood,Unknown,No Patio Cover/Carport,No Fence,>30,,121563.0,1978.0,44448 AUBERRY RD AUBERRY CA 93602,37.0599334664478,-119.390367183597
6952,120273,Destroyed (>50%),501.0,Mount Holyoke,Avenue,Pacific Palisades,90272.0,LAC,Los Angeles,,2025-01-07 08:02:01,,Single Family Residence Multi Story,Single Residence,,Concrete,Unknown,No Vents,Stucco Brick Cement,Single Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,Non Combustible,,,452637.0,1957.0,"501 MOUNT HOLYOKE AVE, PACIFIC PALISADES, CA 90272",34.0388081,-118.5312797
6953,9543,No Damage,11480.0,Platina ,Road,,,SHU,Shasta,,2020-09-27 00:00:00,,Utility Misc Structure,Other Minor Structure,,Metal,Unenclosed,No Vents,Wood,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,Non Combustible,,,40786.0,,11480 PLATINA RD ONO CA 96047,40.4508718672377,-122.634978785089
6954,4282,Destroyed (>50%),99.0,Hidden Springs,Road,,0.0,BTU,Butte,Berry Creek,2020-09-09 00:00:00,,Mobile Home Triple Wide,Single Residence,0.0,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Wood,Multi Pane,Wood,No Deck/Porch,No Patio Cover/Carport,No Fence,21-30,,140000.0,2006.0,"99 HIDDEN SPRINGS RD, BERRY CREEK CA 95916",39.6272571770533,-121.380285570049
6955,98621,No Damage,31640.0,El Cariso,Road,Lake Elsinore,92530.0,RRU,Riverside,,2024-09-09 00:00:00,,Commercial Building Multi Story,Nonresidential Commercial,0.0,Tile,Unenclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Multi Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,11-20,,1974221.0,2006.0,"31640 EL CARISO RD, LAKE ELSINORE, CA 92530",33.6600005,-117.4034419
6956,18137,No Damage,4096.0,Peaceful Glen,Road,,,LNU,Solano,,2020-08-16 00:00:00,,Mobile Home Single Wide,Single Residence,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,429974.0,1988.0,4096 PEACEFUL GLEN RD VACAVILLE CA 95688,38.4340007569303,-121.997972716388
6957,90066,No Damage,28901.0,Fairview,Avenue,Hemet,92544.0,RRU,Riverside,,2022-09-05 00:00:00,,Mobile Home Single Wide,Single Residence,,Asphalt,Enclosed,No Vents,Vinyl,Single Pane,No Deck/Porch,Wood,No Patio Cover/Carport,No Fence,,,153792.0,1951.0,"28901 FAIRVIEW AVE, HEMET, CA 92544",33.70244256,-116.89332714
6958,52370,Destroyed (>50%),15864.0,Trinity Mountain ,Road,Unincorporated,,SHU,Shasta,French Gulch,2018-07-23 00:00:00,,Utility Misc Structure,Other Minor Structure,,Metal,Unknown,No Vents,Combustible,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,Non Combustible,,,100002.0,0.0,15864 TRINITY MOUNTAIN RD FRENCH GULCH CA 96033,40.7500351755485,-122.62004200638
6959,101714,Destroyed (>50%),2904.0,Wagner,Court,Altadena,91001.0,LAC,Los Angeles,,2025-01-07 08:02:01,,Single Family Residence Single Story,Single Residence,,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Unknown,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,Combustible,,,117300.0,1927.0,"2904 WAGNER CT, ALTADENA, CA 91001",34.1953191,-118.1552713
6960,116513,Destroyed (>50%),2804.0,Santa Anita,Avenue,Altadena,91001.0,LAC,Los Angeles,,2025-01-07 08:02:01,Unknown,Single Family Residence Single Story,Single Residence,0.0,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Single Pane,Masonry/Concrete,No Deck/Porch,Combustible,Combustible,,,90105.0,1921.0,"2804 SANTA ANITA AVE, ALTADENA, CA 91001",34.1928394,-118.1369672
6961,84474,Destroyed (>50%),162.0,Hot Springs ,Road,Greenville,95947.0,LMU,Plumas,Greenville ,2021-07-13 00:00:00,,Single Family Residence Single Story,Single Residence,0.0,Asphalt,Unknown,"Mesh Screen > 1/8""""",Stucco Brick Cement,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,0-10,,26378.0,,162 HOT SPRINGS RD GREENVILLE CA 95947,40.1404043652496,-120.938075545109
6962,88386,No Damage,20020.0,Vernita,Drive,Redding,96003.0,SHU,Shasta,,2021-09-22 00:00:00,,Single Family Residence Multi Story,Single Residence,0.0,Tile,Unenclosed,"Mesh Screen > 1/8""""",Wood,Multi Pane,Masonry/Concrete,No Deck/Porch,Combustible,No Fence,,,124589.0,,20020 VERNITA DR REDDING CA 96003,40.6764681758339,-122.316800864515
6963,96878,No Damage,8904.0,Cohasset,Road,Cohasset,95973.0,BTU,Butte,,2024-07-24 00:00:00,,Utility Misc Structure,Other Minor Structure,0.0,Metal,Unenclosed,No Vents,Wood,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,,7672.0,1971.0,"8904 COHASSET RD, COHASSET, CA 95973",39.8928879,-121.7475989
6964,55612,No Damage,,,,Unincorporated,,BTU,Butte,,2018-11-08 00:00:00,,Single Family Residence Multi Story,Single Residence,, , , , , , , , ,,,,199888.0,1994.0,4185 CLEAR CREEK CEMETERY RD BUTTE VALLEY CA 95965,39.6683724975701,-121.609905939473
6965,118827,Destroyed (>50%),3707.0,El Sereno,Avenue,Altadena,91001.0,LAC,Los Angeles,,2025-01-07 08:02:01,,Utility Misc Structure,Other Minor Structure,,Asphalt,Unknown,No Vents,Stucco Brick Cement,No Windows,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,Combustible,,,62446.0,1947.0,"3707 EL SERENO AVE, ALTADENA, CA 91001",34.206132,-118.1443135
6966,81029,Destroyed (>50%),5285.0,Wooded Glen ,Road,Grizzly Flats,95636.0,AEU,El Dorado,Grizzly Flats,2021-08-14 00:00:00,,Single Family Residence Single Story,Single Residence,0.0,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Vinyl,Multi Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,11-20,,169793.0,,5285 WOODED GLEN RD GRIZZLY FLATS CA 95636,38.6322465510953,-120.532110008634
6967,36301,Destroyed (>50%),1536.0,Millwood,Lane,Paradise Central Southeast B,,BTU,Butte,Paradise ,2018-11-08 00:00:00,,Utility Misc Structure,Other Minor Structure,,Asphalt,Unenclosed,No Vents,Combustible,No Windows,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,,,41171.0,1949.0,1536  MILLWOOD LN   PARADISE CA 95969,39.7457534498151,-121.587044583551
6968,47992,Destroyed (>50%),13733.0,Andover,Drive,Magalia,,BTU,Butte,Magalia,2018-11-08 00:00:00,Unknown,Single Family Residence Single Story,Single Residence,,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Combustible,Multi Pane,Masonry/Concrete,Wood,Combustible,No Fence,11-20,,174919.0,2003.0,13733  ANDOVER DR   MAGALIA CA 95954,39.8069757876993,-121.594465283144
6969,66510,Destroyed (>50%),3749.0,Sawgrass,Place,Santa Rosa,0.0,LNU,Sonoma,Fountaingrove,2017-10-08 00:00:00,,Single Family Residence Multi Story,Single Residence,,Fire Resistant,Unknown,Unknown,Fire Resistant,Multi Pane, , , ,,,,531446.0,,3749 SAWGRASS PL SANTA ROSA CA 95403,38.4955701053295,-122.708204582673
6970,46872,Destroyed (>50%),5664.0,Clara,Lane,Paradise Central Southeast B,,BTU,Butte,Paradise ,2018-11-08 00:00:00,,Single Family Residence Single Story,Single Residence,,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Ignition Resistant,Multi Pane,Wood,No Deck/Porch,No Patio Cover/Carport,Non Combustible,,,113122.0,1973.0,5664  CLARA LN   PARADISE CA 95969,39.7528376268229,-121.595394151029
6971,68036,Destroyed (>50%),17460.0,Arroyo Vista,Road,Whispering Pines,0.0,LNU,Lake,,2015-09-12 00:00:00,,Utility Misc Structure,Other Minor Structure,,Unknown,Unknown,Unknown,Combustible,Unknown, , , ,,,,66422.0,,17460 ARROYO VISTA RD MIDDLETOWN CA 95461,38.8073445541728,-122.708856782027
6972,121578,Destroyed (>50%),906.0,Glenhaven,Drive,Pacific Palisades,90272.0,LAC,Los Angeles,,2025-01-07 08:02:01,Unknown,Single Family Residence Single Story,Single Residence,,Tile,No Eaves,Unknown,Stucco Brick Cement,Single Pane,Masonry/Concrete,Wood,Combustible,Non Combustible,,,609616.0,1957.0,"906 GLENHAVEN DR, PACIFIC PALISADES, CA 90272",34.051078,-118.5453602
6973,119631,No Damage,1038.0,Del Ray,Avenue,Pasadena,91107.0,LAC,Los Angeles,,2025-01-07 08:02:01,,Single Family Residence Single Story,Single Residence,,Tile,No Eaves,Unscreened,Stucco Brick Cement,Single Pane,Masonry/Concrete,No Deck/Porch,Combustible,No Fence,,,31459.0,1925.0,"1038 DEL REY AVE, PASADENA, CA 91107",34.1641108,-118.0969871
6974,64206,Destroyed (>50%),3480.0,Matanzas Creek,Lane,Unincorporated,0.0,LNU,Sonoma,Santa Rosa,2017-10-08 00:00:00,,Single Family Residence Single Story,Single Residence,,Unknown,Unknown,Unknown,Combustible,Multi Pane, , , ,,,,1000796.0,1992.0,3480 MATANZAS CREEK LN,38.378934990553,-122.595669880882
