,OBJECTID,* Damage,* Street Number,* Street Name,"* Street Type (e.g. road, drive, lane, etc.)",* City,Zip Code,* CAL FIRE Unit,County,Community,Incident Start Date,Structure Defense Actions Taken,* Structure Type,Structure Category,# Units in Structure (if multi unit),* Roof Construction,* Eaves,* Vent Screen,* Exterior Siding,* Window Pane,* Deck/Porch On Grade,* Deck/Porch Elevated,* Patio Cover/Carport Attached to Structure,* Fence Attached to Structure,Distance - Propane Tank to Structure,Distance - Residence to Utility/Misc Structure &gt; 120 SQFT,Assessed Improved Value (parcel),Year Built (parcel),Site Address (parcel),Latitude,Longitude
0,67187,Destroyed (>50%),0.0,Douglas,Street,Middletown,0.0,LNU,Lake,Middletown,2015-09-12 00:00:00,,Single Family Residence Single Story,Single Residence,,Fire Resistant,Unknown,Unknown,Fire Resistant,Single Pane, , , ,,,,116340.0,,21181 STEWART ST MIDDLETOWN CA 95461,38.7516202785257,-122.61842501641
1,24164,Destroyed (>50%),660.0,Swanton ,Road,,,CZU,Santa Cruz,Davenport ,2020-08-16 00:00:00,,Single Family Residence Single Story,Single Residence,,Asphalt,Unenclosed,Unscreened,Wood,Single Pane,Wood,No Deck/Porch,Combustible,No Fence,>30,,,,660 SWANTON RD DAVENPORT CA 95017,37.1231825670766,-122.259006347542
2,28049,No Damage,746655.0,Roop,Drive,Doyle ,,LMU,Lassen,,2020-11-17 00:00:00,Unknown,Single Family Residence Single Story,Single Residence,,Metal,No Eaves,No Vents,Vinyl,Multi Pane,Wood,Unknown,No Patio Cover/Carport,Non Combustible,,,95979.0,1978.0,746655 ROOP DR DOYLE CA 96109,40.038579486304,-120.112102670595
3,45623,Destroyed (>50%),1679.0,Middle Tree,Lane,Paradise Northeast A,,BTU,Butte,Paradise,2018-11-08 00:00:00,,Utility Misc Structure,Other Minor Structure,,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Combustible,Single Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,,,125320.0,1977.0,1679  MIDDLE TREE LN   PARADISE CA 95969,39.7919428928084,-121.581847645478
4,90826,No Damage,72.0,Vista Montemar ,Other,Laguna Niguel,92677.0,ORC,Orange,,2022-05-11 00:00:00,Engine Company Actions,Single Family Residence Multi Story,Single Residence,0.0,Concrete,Enclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Multi Pane,Masonry/Concrete,Masonry/Concrete,No Patio Cover/Carport,Non Combustible,,,691996.0,1996.0,"72 VISTA MONTEMAR, LAGUNA NIGUEL, CA 92677",33.5245244,-117.72711609
5,48154,Destroyed (>50%),7357.0,Skyway ,,Paradise Southwest B,,BTU,Butte,Paradise ,2018-11-08 00:00:00,Unknown,Commercial Building Single Story,Nonresidential Commercial,3.0,Asphalt,Unenclosed,Unknown,Combustible,Multi Pane,Masonry/Concrete,No Deck/Porch,Combustible,No Fence,0-10,,153000.0,1958.0,7357  SKYWAY   C PARADISE CA 95969,39.767398582269,-121.61411764397
6,9979,Destroyed (>50%),2213.0,GEORGIA FLAT RD,,,,SKU,Siskiyou,HAPPY CAMP,2020-09-08 00:00:00,,Utility Misc Structure,Other Minor Structure,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1950.0,"2213 GEORGIA FLAT RD, HAPPY CAMP CA 96039",41.8210780260279,-123.382826991245
7,28887,Destroyed (>50%),1410.0,Nunneley,Road,Paradise Central Southeast B,,BTU,Butte,Paradise,2018-11-08 00:00:00,,Single Family Residence Single Story,Single Residence,,Asphalt,Enclosed,"Mesh Screen > 1/8""""",Ignition Resistant,Multi Pane,Wood,No Deck/Porch,No Patio Cover/Carport,Non Combustible,,,125000.0,1955.0,1410  NUNNELEY RD   PARADISE CA 95969,39.7555648129747,-121.593266327786
8,119196,No Damage,1750.0,Walworth,Avenue,Pasadena,91104.0,LAC,Los Angeles,,2025-01-07 08:02:01,,Single Family Residence Single Story,Single Residence,,Tile,No Eaves,"Mesh Screen > 1/8""""",Stucco Brick Cement,Single Pane,Masonry/Concrete,Wood,No Patio Cover/Carport,Combustible,,30-50',218461.0,1927.0,"1750 WALWORTH AVE, PASADENA, CA 91104",34.1759989,-118.1352744
9,126377,No Damage,1730.0,Michael ,Lane,Pacific Palisades,90272.0,LAC,Los Angeles,,2025-01-07 08:02:01,,Single Family Residence Multi Story,Single Residence,,Tile,No Eaves,"Mesh Screen > 1/8""""",Wood,Single Pane,Masonry/Concrete,No Deck/Porch,Combustible,Combustible,,,341639.0,1977.0,"1730 MICHAEL LN, PACIFIC PALISADES, CA 90272",34.0792535,-118.5620182
10,59307,Destroyed (>50%),2300.0,Old Soda Springs,Road,Unincorporated,0.0,LNU,Napa,,2017-10-08 00:00:00,,Single Family Residence Single Story,Single Residence,,Fire Resistant,Unknown,Screened,Fire Resistant,Multi Pane, , , ,,,,2064726.0,1996.0,2300 OLD SODA SPRINGS RD,38.3732744477651,-122.275169205342
11,33691,Destroyed (>50%),5847.0,Almond ,Street,Paradise Central Southwest A,,BTU,Butte,,2018-11-08 00:00:00,,Single Family Residence Single Story,Single Residence,,Asphalt,Unknown,Unknown,Ignition Resistant,Single Pane,Masonry/Concrete,No Deck/Porch,Unknown,No Fence,,<30',21702.0,1949.0,5847  ALMOND ST   PARADISE CA 95969,39.757130246977,-121.624053692834
12,99051,No Damage,2045.0,Alborada,Drive,Camarillo,93010.0,VNC,Ventura,,2024-11-06 00:00:00,,Single Family Residence Single Story,Single Residence,0.0,Tile,Unenclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,Combustible,,,298032.0,1999.0,"2045 ALBORADA DR, CAMARILLO, CA 93010",34.2407763,-119.0565476
13,31004,Destroyed (>50%),1148.0,Bille,Road,Paradise Central Southwest B,,BTU,Butte,Paradise,2018-11-08 00:00:00,Unknown,Utility Misc Structure,Other Minor Structure,,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Combustible,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,,132424.0,1961.0,1148  BILLE RD   PARADISE CA 95969,39.7691514629383,-121.604730816088
14,45038,Destroyed (>50%),903.0,Central Park ,Drive,Paradise Central Southwest B,,BTU,Butte,Paradise ,2018-11-08 00:00:00,Unknown,Single Family Residence Single Story,Single Residence,,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Combustible,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,Non Combustible,,,187170.0,1956.0,903  CENTRAL PARK DR   PARADISE CA 95969,39.7661068716608,-121.608574443982
15,6987,No Damage,42070.0,Auberry ,Road,,0.0,FKU,Fresno,Auberry ,2020-09-04 00:00:00,,Utility Misc Structure,Other Minor Structure,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,0.0,0.0,   ,37.0796569108757,-119.41973765571
16,7641,No Damage,61089.0,Kilowatt,Lane,,0.0,FKU,Fresno,,2020-09-04 00:00:00,,Single Family Residence Single Story,Single Residence,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,0.0,0.0, LAKESHORE CA 93634,37.2455170453881,-119.192783186013
17,68283,Destroyed (>50%),165.0,Canyon,Place,Unincorporated,0.0,LNU,Napa,Napa ,2017-10-08 00:00:00,,Single Family Residence Multi Story,Single Residence,,Fire Resistant,Enclosed,Screened,Fire Resistant,Multi Pane, , , ,,,,489780.0,1996.0,165 CANYON PL,38.360906816508,-122.260758458503
18,18392,Destroyed (>50%),6974.0,Millie May,Lane,,,LNU,Solano,,2020-08-16 00:00:00,,Single Family Residence Multi Story,Single Residence,,Asphalt,Unknown,"Mesh Screen > 1/8""""",Wood,Multi Pane,Masonry/Concrete,Wood,Combustible,No Fence,0-10,,637785.0,1990.0,6974 MILLIE MAY LN VACAVILLE CA 95688,38.3973884032453,-122.046868618276
19,14630,No Damage,2615.0,Summit Lake,Drive,,,LNU,Napa,,2020-09-27 00:00:00,Combination of Actions,Single Family Residence Single Story,Single Residence,,Metal,Enclosed,"Mesh Screen <= 1/8""""",Wood,Multi Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,>30,,416025.0,1987.0,2615 SUMMIT LAKE DR ANGWIN CA 94508,38.6049022997852,-122.475661452844
20,97222,No Damage,584.0,Ashdale,Court,Camarillo,93010.0,VNC,Ventura,,2024-11-06 00:00:00,,Single Family Residence Single Story,Single Residence,0.0,Tile,Unenclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,,594839.0,1983.0,"584 ASHDALE CT, CAMARILLO, CA 93010",34.2294544,-119.0851815
21,98504,No Damage,6810.0,Shaw,Avenue,Mt Baldy,91759.0,BDU,San Bernardino,,2024-09-08 00:00:00,,Single Family Residence Multi Story,Single Residence,0.0,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Wood,Multi Pane,No Deck/Porch,Wood,Non Combustible,No Fence,,,225420.0,1926.0,"6810 SHAW AVE, MT BALDY, CA 91759",34.2393169,-117.6568382
22,127593,Destroyed (>50%),843.0,Hartzell,Street,Pacific Palisades,90272.0,LAC,Los Angeles,,2025-01-07 08:02:01,Unknown,Single Family Residence Single Story,Single Residence,,Unknown,Unknown,Unknown,Stucco Brick Cement,Unknown,Masonry/Concrete,Unknown,Combustible,Non Combustible,,,841012.0,2017.0,"843 HARTZELL ST, PACIFIC PALISADES, CA 90272",34.0445668,-118.5197727
23,60044,Destroyed (>50%),1693.0,Randon,Way,Santa Rosa,0.0,LNU,Sonoma,Coffey Park,2017-10-08 00:00:00,,Single Family Residence Multi Story,Single Residence,,Fire Resistant,Unknown,Unknown,Combustible,Single Pane, , , ,,,,179921.0,,1693 RANDON WAY SANTA ROSA CA 95403,38.4776821253261,-122.754546465512
24,59322,Destroyed (>50%),3405.0,Adobe Canyon,Road,Unincorporated,0.0,LNU,Sonoma,,2017-10-08 00:00:00,,Utility Misc Structure,Other Minor Structure,,Combustible,Unknown,Unknown,Fire Resistant,Unknown, , , ,,,,590197.0,1975.0,3405 ADOBE CANYON RD,38.4491709139828,-122.517549367232
25,65620,Destroyed (>50%),1613.0,Hopper,Avenue,Santa Rosa,0.0,LNU,Sonoma,Coffey Park,2017-10-08 00:00:00,,Single Family Residence Multi Story,Single Residence,,Fire Resistant,Unenclosed,Unknown,Combustible,Multi Pane, , , ,,,,130832.0,,1613 HOPPER AVE SANTA ROSA CA 95403,38.4798899301258,-122.749325506488
26,109321,No Damage,2415.0,Brigden,Road,Pasadena,91104.0,LAC,Los Angeles,,2025-01-07 08:02:01,,Single Family Residence Single Story,Single Residence,,Asphalt,Unenclosed,"Mesh Screen <= 1/8""""",Stucco Brick Cement,Multi Pane,Masonry/Concrete,Masonry/Concrete,Combustible,Combustible,,,60766.0,1939.0,"2415 BRIGDEN RD, PASADENA, CA 91104",34.1662681,-118.1006394
27,62508,Destroyed (>50%),2225.0,Highway 154,,Santa Barbara,0.0,SBC,Santa Barbara,Santa Barbara County,2017-07-08 00:00:00,,Utility Misc Structure,Other Minor Structure,,Fire Resistant,Unenclosed,Unknown,Combustible,Unknown, , , ,,,,0.0,,2265 HIGHWAY 154 SANTA BARBARA CA 93105,34.569632960337,-119.952397826696
28,122783,No Damage,18077.0,Coastline,Drive,Malibu,90265.0,LAC,Los Angeles,,2025-01-07 08:02:01,Engine Company Actions,Multi Family Residence Multi Story,Multiple Residence,4.0,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,,1156416.0,1967.0,"18079 COASTLINE DR, MALIBU, CA 90265",34.0430507,-118.5695791
29,116850,Destroyed (>50%),45.0,E Palm,Street,Altadena,91001.0,LAC,Los Angeles,,2025-01-07 08:02:01,,Single Family Residence Single Story,Single Residence,,Asphalt,Unknown,Unknown,Stucco Brick Cement,Single Pane,No Deck/Porch,No Deck/Porch,Combustible,No Fence,,,311680.0,1960.0,"45 E PALM ST, ALTADENA, CA 91001",34.1966937,-118.1453385
30,103631,No Damage,845.0,Canyon Crest,Drive,Sierra Madre,91024.0,LAC,Los Angeles,,2025-01-07 08:02:01,,Utility Misc Structure,Other Minor Structure,,Asphalt,No Eaves,No Vents,Wood,No Windows,Masonry/Concrete,Wood,Combustible,Combustible,,<30',167732.0,1949.0,"845 CANYON CREST DR, SIERRA MADRE, CA 91024",34.1741582,-118.0443815
31,78285,No Damage,1040.0,Gladycon,Road,Colfax,95713.0,NEU,Placer,,2021-08-04 00:00:00,,Single Family Residence Single Story,Single Residence,,Asphalt,Enclosed,"Mesh Screen <= 1/8""""",Stucco Brick Cement,Multi Pane,Masonry/Concrete,Masonry/Concrete,Non Combustible,No Fence,,,93021.0,,1040 GLADYCON RD COLFAX CA 95713,39.1183538797499,-120.963290288547
32,107976,No Damage,1003.0,Alta Vista,Drive,Altadena,91001.0,LAC,Los Angeles,,2025-01-07 08:02:01,,Single Family Residence Multi Story,Single Residence,,Asphalt,Enclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Multi Pane,No Deck/Porch,No Deck/Porch,Combustible,Combustible,,30-50',142855.0,1938.0,"1003 ALTA VISTA DR, ALTADENA, CA 91001",34.1966844,-118.1292096
33,78891,Destroyed (>50%),1.0,Southgate,Drive,Sonora,95370.0,TCU,Tuolumne,,2021-08-26 00:00:00,,Commercial Building Single Story,Nonresidential Commercial,,Asphalt,Unknown,Unknown,Wood,Single Pane,Masonry/Concrete,Unknown,No Patio Cover/Carport,No Fence,,,,,SONORA CA 95370,37.9693139836511,-120.389887738417
34,60890,Destroyed (>50%),9050.0,Rocky Creek,Road,Lower Lake,95457.0,LNU,Lake,Lower Lake,2015-07-29 00:00:00,,Utility Misc Structure,Other Minor Structure,,Unknown,Unknown,Unknown,Unknown,Unknown, , , ,,,,142828.0,,9050 Rocky Creek Road,38.9149695612552,-122.487666881458
35,80992,No Damage,5011.0,Old Mine,Road,Grizzly Flats,95636.0,AEU,El Dorado,Grizzly Flat ,2021-08-14 00:00:00,,Mobile Home Double Wide,Single Residence,0.0,Asphalt,Unenclosed,No Vents,Wood,Single Pane,No Deck/Porch,Wood,Combustible,No Fence,,,105934.0,,5011 OLD MINE RD GRIZZLY FLATS CA 95636,38.6379255393933,-120.544489120236
36,25937,No Damage,53905.0,Mines,Road,,,SCU,Santa Clara,,2020-08-18 00:00:00,,Utility Misc Structure,Other Minor Structure,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,0.0,,55305 MINES RD LIVERMORE CA 94550,37.4639992175066,-121.529553373752
37,41239,Destroyed (>50%),3469.0,Neal,Road,Paradise Southwest B,,BTU,Butte,Paradise,2018-11-08 00:00:00,Unknown,Utility Misc Structure,Other Minor Structure,,Asphalt,Unknown,Unknown,Combustible,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,,67241.0,1976.0,3469  NEAL RD   PARADISE CA 95969,39.733207624569,-121.65128734238
38,126822,Destroyed (>50%),1355.0,Monument,Street,Pacific Palisades,90272.0,LAC,Los Angeles,,2025-01-07 08:02:01,,Single Family Residence Multi Story,Single Residence,,Asphalt,Unknown,Unknown,Stucco Brick Cement,Unknown,No Deck/Porch,Unknown,No Patio Cover/Carport,Non Combustible,,,235062.0,1952.0,"1355 MONUMENT ST, PACIFIC PALISADES, CA 90272",34.0537307,-118.5249175
39,81194,No Damage,6501.0,Caldor,Road,Somerset,95684.0,AEU,El Dorado,,2021-08-14 00:00:00,Unknown,Single Family Residence Single Story,Single Residence,1.0,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Wood,Single Pane,Wood,Wood,Combustible,No Fence,>30,<30',268648.0,,6501 CALDOR RD SOMERSET CA 95684,38.6104228020922,-120.585401947519
40,8363,No Damage,0.0,Camp Sierra,Road,,0.0,FKU,Fresno,,2020-09-04 00:00:00,,Commercial Building Single Story,Nonresidential Commercial,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,0.0,0.0, SHAVER LAKE CA 93664,37.1936486282225,-119.258629717898
41,29880,Destroyed (>50%),7726.0,Skyway,Road,Paradise Northwest B,,BTU,Butte,Paradise,2018-11-08 00:00:00,,Mobile Home Single Wide,Single Residence,,Metal,Unenclosed,"Mesh Screen > 1/8""""",Ignition Resistant,Multi Pane,No Deck/Porch,No Deck/Porch,Combustible,Non Combustible,,<30',1144440.0,1962.0,7726  SKYWAY     PARADISE CA 95969,39.7717428936104,-121.608807024097
42,4205,Destroyed (>50%),227.0,Raccoon ,Court,,0.0,BTU,Butte,,2020-09-09 00:00:00,,Motor Home,Single Residence,0.0,Asphalt,No Eaves,No Vents,Other,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,,6956.0,1900.0,"277 RACCOON RD, BERRY CREEK CA 95916",39.6251912001857,-121.359863186837
43,129103,No Damage,21342.0,Colina,Drive,Topanga,90290.0,LAC,Los Angeles,,2025-01-07 08:02:01,Fire Retardant Drop,Single Family Residence Multi Story,Single Residence,0.0,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Wood,Single Pane,Masonry/Concrete,Composite,Combustible,No Fence,11-20,<30',1300500.0,1978.0,"21342 COLINA DR, TOPANGA, CA 90290",34.0862243,-118.5923191
44,98688,No Damage,464.0,Swarthout Canyon,Road,Wrightwood,92397.0,BDU,San Bernardino,,2024-09-08 00:00:00,,Utility Misc Structure,Other Minor Structure,0.0,Metal,Unenclosed,No Vents,Wood,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,,558421.0,2003.0,"464 SWARTHOUT CANYON RD, WRIGHTWOOD, CA 92397",34.3668967,-117.6519209
45,110056,Destroyed (>50%),768.0,E Sacramento ,Street,Altadena,91001.0,LAC,Los Angeles,,2025-01-07 08:02:01,Unknown,Single Family Residence Single Story,Single Residence,0.0,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Vinyl,Single Pane,Wood,No Deck/Porch,Combustible,Non Combustible,,<30',410500.0,1950.0,"768 E SACRAMENTO ST, ALTADENA, CA 91001",34.1802782,-118.1346519
46,14206,No Damage,3600.0,Spring Mountain ,Road,,,LNU,Napa,,2020-09-27 00:00:00,Engine Company Actions,Single Family Residence Multi Story,Single Residence,,Asphalt,Unenclosed,No Vents,Wood,Single Pane,Masonry/Concrete,Wood,Non Combustible,Combustible,,,121627.0,1936.0,3600 SPRING MOUNTAIN RD SAINT HELENA CA 94574,38.520568997744,-122.53172933328
47,13872,No Damage,311.0,Crystal Springs,Road,,,LNU,Napa,Saint Helena,2020-09-27 00:00:00,Engine Company Actions,Single Family Residence Single Story,Single Residence,,Wood,Unenclosed,No Vents,Wood,Multi Pane,Masonry/Concrete,No Deck/Porch,Combustible,Non Combustible,>30,>50',4945493.0,2007.0,311 CRYSTAL SPRINGS RD SAINT HELENA CA 94574,38.5529971563837,-122.494740518737
48,50907,Destroyed (>50%),3084.0,Bedrock ,Lane,,,SHU,Shasta,Redding ,2018-07-23 00:00:00,,Single Family Residence Single Story,Single Residence,,Asphalt,Unknown,"Mesh Screen <= 1/8""""",Combustible,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,Combustible,,,80794.0,1984.0,3084 BEDROCK LN REDDING CA 96003,40.5959644262366,-122.41510313056
49,6952,No Damage,42123.0,Auberry ,Road,,0.0,FKU,Fresno,,2020-09-04 00:00:00,,Utility Misc Structure,Other Minor Structure,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,333218.0,1987.0,42123 AUBERRY RD AUBERRY CA 93602,37.0812656202271,-119.417318528583
50,12300,No Damage,1184.0,Maple,Lane,,,LNU,Napa,Calistoga,2020-09-27 00:00:00,,Utility Misc Structure,Other Minor Structure,,Metal,Unenclosed,No Vents,Wood,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,,496615.0,,1184 MAPLE LN CALISTOGA CA 94515,38.5620897486017,-122.538058078543
51,130520,Destroyed (>50%),16036.0,Temecula ,Street,Pacific Palisades,90272.0,LAC,Los Angeles,,2025-01-07 08:02:01,Unknown,Single Family Residence Multi Story,Single Residence,,Asphalt,Unknown,"Mesh Screen <= 1/8""""",Stucco Brick Cement,Unknown,Masonry/Concrete,Unknown,Combustible,Combustible,,,1781401.0,2014.0,"16036 TEMECULA ST, PACIFIC PALISADES, CA 90272",34.0457175,-118.536568
52,43643,Destroyed (>50%),7075.0,Clark ,Road,Paradise Northwest A,,BTU,Butte,Paradise ,2018-11-08 00:00:00,Unknown,Mobile Home Triple Wide,Single Residence,,Asphalt,No Eaves,No Vents,Combustible,Single Pane,Masonry/Concrete,No Deck/Porch,Combustible,No Fence,,,1412010.0,1900.0,7075  CLARK RD   PARADISE CA 95969,39.791777321575,-121.587425322807
53,123327,No Damage,1271.0,Calle de Sevilla,,Pacific Palisades,90272.0,LAC,Los Angeles,,2025-01-07 08:02:01,,Single Family Residence Multi Story,Single Residence,,Tile,Unenclosed,"Mesh Screen <= 1/8""""",Stucco Brick Cement,Single Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,Combustible,,,234879.0,1974.0,"1271 CALLE DE SEVILLA, PACIFIC PALISADES, CA 90272",34.0688128,-118.5590806
54,69691,Destroyed (>50%),3616.0,Orbetello,Court,Santa Rosa,0.0,LNU,Sonoma,Fountaingrove,2017-10-08 00:00:00,,Single Family Residence Multi Story,Single Residence,,Fire Resistant,Unknown,Screened,Fire Resistant,Multi Pane, , , ,,,,868000.0,,3616 ORBETELLO CT SANTA ROSA CA 95404,38.4830440690142,-122.699195571826
55,57363,No Damage,8000.0,Wild Horse Valley,Road,Unincorporated,0.0,LNU,Napa,Napa,2017-10-08 00:00:00,,Single Family Residence Multi Story,Single Residence,,Fire Resistant,Unenclosed,Screened,Combustible,Multi Pane, , , ,,,,198350.0,1990.0,8000 WILD HORSE VALLEY RD,38.3237000531177,-122.199372832758
56,1823,No Damage,2356.0,Lumpkin ,Road,,0.0,BTU,Butte,Feather Falls ,2020-09-09 00:00:00,,Utility Misc Structure,Other Minor Structure,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,3185.0,1986.0,"2356 LUMPKIN RD, FEATHER FALLS CA 95966",39.5870806976067,-121.281141003169
57,130814,Destroyed (>50%),16001.0,Pacific Coast,Highway,Pacific Palisades,90272.0,LAC,Los Angeles,,2025-01-07 08:02:01,,Mobile Home Triple Wide,Single Residence,0.0,Asphalt,No Eaves,"Mesh Screen > 1/8""""",Metal,Single Pane,Masonry/Concrete,Wood,No Patio Cover/Carport,No Fence,,,138063.0,1962.0,"16001 PACIFIC COAST HWY, PACIFIC PALISADES, CA 90272",34.0387485,-118.5356294
58,81645,Destroyed (>50%),936.0,Echo Summit North ,Road,South Lake Tahoe,96150.0,AEU,El Dorado,Echo Lake ,2021-08-14 00:00:00,Unknown,Single Family Residence Multi Story,Single Residence,0.0,Asphalt,Unenclosed,No Vents,Wood,Single Pane,Wood,Wood,No Patio Cover/Carport,No Fence,,>50',54670.0,,936 ECHO SUMMIT RD N SOUTH LAKE TAHOE CA 96150,38.8210916834821,-120.028820816411
59,91255,Destroyed (>50%),1556.0,Wakefield ,Avenue,Weed,96094.0,SKU,Siskiyou,Lincoln Heights ,2022-09-02 00:00:00,Unknown,Single Family Residence Single Story,Single Residence,,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Wood,Multi Pane,Masonry/Concrete,Wood,Combustible,No Fence,,,25879.0,0.0,1556 WAKEFIELD AVE WEED 96094 CA,41.43859833,-122.38794474
60,77890,No Damage,20590.0,89 State ,Route,Markleeville,96120.0,AEU,Alpine,,2021-07-04 00:00:00,,Utility Misc Structure,Other Minor Structure,,Asphalt,Unenclosed,No Vents,Wood,No Windows,Masonry/Concrete,No Deck/Porch,Combustible,No Fence,,,122675.0,,40 MONROE RANCH RD MARKLEEVILLE CA 96120,38.7670790169264,-119.817697433323
61,7394,Destroyed (>50%),0.0,Big Creek Headquarters ,Other,,0.0,FKU,Fresno,,2020-09-04 00:00:00,,Commercial Building Single Story,Nonresidential Commercial,0.0,Metal,Unenclosed,Unscreened,Stucco Brick Cement,No Windows,Masonry/Concrete,No Deck/Porch,Combustible,Non Combustible,,,0.0,0.0, LAKESHORE CA 93634,37.2030217781372,-119.244546694442
62,34415,Destroyed (>50%),5276.0,Harrison,Road,Paradise Southeast B,,BTU,Butte,Paradise,2018-11-08 00:00:00,Unknown,Single Family Residence Single Story,Single Residence,,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Ignition Resistant,Multi Pane,Wood,Wood,No Patio Cover/Carport,Combustible,,,267000.0,1995.0,5276  HARRISON RD   PARADISE CA 95969,39.7329359638454,-121.576157300549
63,15492,No Damage,7351.0,English Hills,Road,,,LNU,Solano,,2020-08-16 00:00:00,,Utility Misc Structure,Other Minor Structure,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,80553.0,1926.0,7351 ENGLISH HILLS RD VACAVILLE CA 95688,38.4180150344947,-122.000831994649
64,26407,No Damage,113.0,Headwaters ,,,,ORC,Orange,Irvine,2020-10-26 00:00:00,,Single Family Residence Multi Story,Single Residence,,Tile,Enclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Multi Pane,No Deck/Porch,No Deck/Porch,Non Combustible,Non Combustible,,,,,113 HEADWATERS IRVINE CA 92602,33.7585317795076,-117.75498100816
65,130056,Destroyed (>50%),912.0,Iliff,Street,Pacific Palisades,90272.0,LAC,Los Angeles,Pacific Palisades ,2025-01-07 08:02:01,,Utility Misc Structure,Other Minor Structure,,Asphalt,Unknown,No Vents,Stucco Brick Cement,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,Non Combustible,,,547244.0,2005.0,"912 ILIFF ST, PACIFIC PALISADES, CA 90272",34.0463511,-118.5183685
66,28433,No Damage,16162.0,Jackson Ranch ,Road,,,ORC,Orange,Silverado ,2020-12-02 00:00:00,,Mixed Commercial/Residential,Mixed Commercial/Residential,,Tile,Unenclosed,"Mesh Screen > 1/8""""",Wood,Single Pane,Wood,No Deck/Porch,No Patio Cover/Carport,No Fence,,,170196.0,1986.0,16162 JACKSON RANCH RD SILVERADO CA,33.728900250246,-117.648205376011
67,69721,Destroyed (>50%),8151.0,West Murray creek,Road,Mountain Ranch,95246.0,TCU,Calaveras,Sierra vista,2015-09-09 00:00:00,,Utility Misc Structure,Other Minor Structure,,Unknown,Unknown,Unknown,Combustible,Unknown, , , ,,,,122739.0,,8151 W MURRAY CREEK RD MOUNTAIN RANCH CA 95246,38.2376452202039,-120.580569310429
68,124227,Destroyed (>50%),15303.0,Friends,Street,Pacific Palisades,90272.0,LAC,Los Angeles,,2025-01-07 08:02:01,Unknown,Single Family Residence Multi Story,Single Residence,,Unknown,Unknown,"Mesh Screen <= 1/8""""",Stucco Brick Cement,Single Pane,Masonry/Concrete,Masonry/Concrete,No Patio Cover/Carport,Combustible,,<30',1929962.0,1940.0,"15303 FRIENDS ST, PACIFIC PALISADES, CA 90272",34.0366779,-118.5274559
